coord_lon,coord_lat,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
27.9,43.2,1606266000,1,243.66,0,4.54,47.92,1.54,3.12,4.32,0.45
27.9,43.2,1606269600,1,243.66,0,4.33,47.21,1.55,3.53,4.7,0.51
27.9,43.2,1606273200,1,247,0,4.07,46.49,1.49,3.88,4.97,0.5
27.9,43.2,1606276800,1,247,0,4.03,46.49,1.48,4.03,5.07,0.48
27.9,43.2,1606280400,1,260.35,0,4.93,45.78,1.74,4.84,6.03,0.55
27.9,43.2,1606284000,1,277.04,0.11,6.6,44.7,2.09,5.83,7.32,0.64
27.9,43.2,1606287600,1,280.38,0.94,6.68,45.78,2.35,5.83,7.49,0.73
27.9,43.2,1606291200,1,273.71,1.5,5.66,49.35,2.35,4.95,6.66,0.85
27.9,43.2,1606294800,1,263.69,1.4,4.41,56.51,2.24,4.72,6.45,0.88
27.9,43.2,1606298400,1,240.33,0.5,2.06,74.39,1.57,4.64,5.81,0.67
27.9,43.2,1606302000,2,236.99,0.43,1.95,80.11,1.62,5.95,7.06,0.57
27.9,43.2,1606305600,2,236.99,0.4,2.1,82.97,1.73,6.52,7.61,0.6
27.9,43.2,1606309200,1,280.38,1.16,6.94,69.38,3.07,9.22,10.96,1.05
27.9,43.2,1606312800,2,357.15,1.79,15.77,45.78,4.53,13.94,16.89,1.63
27.9,43.2,1606316400,2,440.6,0.53,28.1,23.25,5.9,18.43,22.69,2.28
27.9,43.2,1606320000,3,500.68,0.89,35.64,9.12,7.33,21.89,27.32,3.01
27.9,43.2,1606323600,4,567.44,3.69,36.67,2.15,7.87,25.4,31.94,3.45
27.9,43.2,1606327200,4,620.84,7.6,33.59,0.53,7.63,28.76,36.22,3.23
27.9,43.2,1606330800,4,614.17,6.37,30.16,0.92,6.38,28.71,36.17,2.28
27.9,43.2,1606334400,4,567.44,2.38,26.73,3.49,4.95,26.08,33.14,1.55
27.9,43.2,1606338000,3,494,0.53,21.08,9.84,3.79,21.83,28.31,1.08
27.9,43.2,1606341600,2,387.19,0.1,14.91,18.42,2.83,15.2,20.22,0.72
27.9,43.2,1606345200,2,327.11,0.04,11.65,23.6,2.41,11.73,15.7,0.58
27.9,43.2,1606348800,2,300.41,0.02,9.77,28.97,2.27,10.88,13.98,0.48
27.9,43.2,1606352400,2,283.72,0.01,8.05,36.84,2.18,10.59,12.9,0.39
27.9,43.2,1606356000,2,273.71,0,7.2,41.13,2.15,10.08,11.94,0.39
27.9,43.2,1606359600,1,270.37,0,6.77,43.99,2.21,9.43,11.06,0.43
27.9,43.2,1606363200,1,270.37,0,6.43,47.92,2.15,8.7,10.18,0.45
27.9,43.2,1606366800,1,280.38,0,7.11,51.5,2.21,8.7,10.29,0.55
27.9,43.2,1606370400,1,300.41,0.03,8.91,51.5,2.38,9.33,11.23,0.66
27.9,43.2,1606374000,1,307.08,0.73,9.51,51.5,2.65,9.61,11.77,0.73
27.9,43.2,1606377600,1,307.08,1.66,8.65,52.93,2.95,9.69,12.06,0.86
27.9,43.2,1606381200,1,293.73,1.9,7.2,57.22,3.04,9.24,11.6,0.96
27.9,43.2,1606384800,1,257.02,1.1,4.88,72.96,2.53,7.12,8.87,0.92
27.9,43.2,1606388400,1,250.34,1.05,5.01,76.53,2.92,7.41,9.18,1
27.9,43.2,1606392000,1,257.02,1.1,6.08,76.53,3.7,8.25,10.15,1.14
27.9,43.2,1606395600,1,267.03,1.03,8.48,74.39,4.77,9.33,11.41,1.28
27.9,43.2,1606399200,2,280.38,0.62,12.85,67.23,5.96,10.96,13.3,1.31
27.9,43.2,1606402800,2,293.73,0.03,17.82,59.37,6.97,12.07,14.72,1.35
27.9,43.2,1606406400,2,343.8,0.01,25.71,46.49,7.63,15.15,18.54,1.49
27.9,43.2,1606410000,3,460.63,0.11,38.73,26.46,8.58,22.23,27.01,2.09
27.9,43.2,1606413600,4,647.54,1.9,52.78,6.71,10.13,34.03,40.73,3.01
27.9,43.2,1606417200,4,787.74,6.48,56.21,0.6,11.21,43.41,51.34,3.45
27.9,43.2,1606420800,4,834.47,8.94,54.84,0.24,11.92,46.71,54.87,3.48
27.9,43.2,1606424400,4,807.76,8.72,54.15,0.27,11.92,45.58,53.39,3.29
27.9,43.2,1606428000,4,687.6,5.09,51.41,1.01,10.01,37.11,43.76,2.44
27.9,43.2,1606431600,4,534.06,1.26,45.24,4.74,7.87,26.32,31.51,1.55
27.9,43.2,1606435200,2,427.25,0.14,35.99,13.77,6.74,18.91,23.11,1.09
27.9,43.2,1606438800,2,353.81,0.02,26.05,24.68,6.08,14.07,17.51,0.9
27.9,43.2,1606442400,2,313.76,0.01,17.99,33.62,5.19,11.1,14.1,0.82
27.9,43.2,1606446000,1,293.73,0,13.02,38.62,4.35,9.89,12.69,0.81
27.9,43.2,1606449600,2,297.07,0.01,11.31,39.34,3.99,10.75,13.52,0.86
27.9,43.2,1606453200,2,347.14,0.02,13.88,36.12,4.47,14.38,17.54,1.22
27.9,43.2,1606456800,2,423.91,0.16,21.25,29.68,5.13,18.65,22.5,1.69
27.9,43.2,1606460400,2,460.63,2.77,22.96,30.04,5.25,19.65,23.96,1.85
27.9,43.2,1606464000,2,453.95,5.2,19.19,35.41,5.25,18.31,22.75,1.87
27.9,43.2,1606467600,2,410.56,4.97,15.08,44.7,4.89,15.24,19.26,1.63
27.9,43.2,1606471200,1,267.03,1.58,7.2,74.39,2.92,5.9,7.88,0.76
27.9,43.2,1606474800,1,243.66,1.13,5.57,79.39,2.41,4.41,6.18,0.57
27.9,43.2,1606478400,2,230.31,0.82,4.84,81.54,1.97,3.79,5.45,0.45
27.9,43.2,1606482000,1,243.66,0.89,7.45,74.39,2.33,4.5,6.46,0.57
27.9,43.2,1606485600,1,267.03,0.63,12.17,62.94,2.74,5.55,8.06,0.74
27.9,43.2,1606489200,1,280.38,0.04,17.14,52.93,2.74,6.07,9.03,0.82
27.9,43.2,1606492800,1,297.07,0,21.76,44.35,3.04,6.76,10.15,0.92
27.9,43.2,1606496400,1,333.79,0.01,26.05,35.05,3.7,9.39,13.53,1.11
27.9,43.2,1606500000,2,380.52,0.05,29.82,24.68,4.35,13.1,18.23,1.35
27.9,43.2,1606503600,2,397.21,0.09,31.19,19.13,4.41,14.96,20.67,1.31
27.9,43.2,1606507200,2,393.87,0.1,31.19,17.88,4.11,15.75,21.7,1.22
27.9,43.2,1606510800,2,377.18,0.06,30.5,20.03,3.67,16.3,22.06,0.9
27.9,43.2,1606514400,2,333.79,0.02,27.42,25.75,2.86,14.14,19.15,0.55
27.9,43.2,1606518000,2,310.42,0.01,24.33,28.25,2.56,12.36,16.96,0.5
27.9,43.2,1606521600,2,300.41,0,21.25,30.4,2.71,11.98,16.3,0.49
27.9,43.2,1606525200,2,300.41,0,18.51,32.19,3.1,12.26,16.22,0.59
27.9,43.2,1606528800,2,300.41,0,15.94,33.98,3.13,12.87,16.37,0.62
27.9,43.2,1606532400,2,300.41,0.01,14.05,33.26,2.92,13.15,16.16,0.65
27.9,43.2,1606536000,2,307.08,0.01,13.37,29.68,2.77,13.32,15.86,0.75
27.9,43.2,1606539600,2,343.8,0.07,14.91,23.25,3.07,15.37,17.91,1.08
